Date,10 Yr,,,,,,,,Coupon,Maturity ,Issue Date,Mty Type,Frequency
12/29/2017,1.05427,,,,,,,,4.2,8/26/2024,8/26/2014,Bullet,S/A
12/28/2017,1.05404,,,,,,,,,,,,
12/27/2017,1.05386,,,,,,,,,,,,
12/26/2017,1.05161,,,,,,,,,,,,
12/21/2017,1.04933,,,,,,,,,,,,
12/20/2017,1.04971,,,,,,,,,,,,
12/19/2017,1.05279,,,,,,,,,,,,
12/15/2017,1.05818,,,,,,,,,,,,
12/14/2017,1.05783,,,,,,,,,,,,
12/13/2017,1.05932,,,,,,,,,,,,
12/12/2017,1.0552,,,,,,,,,,,,
12/11/2017,1.05597,,,,,,,,,,,,
12/8/2017,1.05703,,,,,,,,,,,,
12/7/2017,1.0564,,,,,,,,,,,,
12/6/2017,1.05984,,,,,,,,,,,,
12/5/2017,1.07621,,,,,,,,,,,,
12/4/2017,1.0559,,,,,,,,,,,,
12/1/2017,1.05421,,,,,,,,,,,,
11/30/2017,1.05238,,,,,,,,,,,,
11/29/2017,1.0548,,,,,,,,,,,,
11/28/2017,1.05864,,,,,,,,,,,,
11/21/2017,1.0565,,,,,,,,,,,,
11/20/2017,1.05113,,,,,,,,,,,,
11/17/2017,1.05257,,,,,,,,,,,,
11/16/2017,1.05382,,,,,,,,,,,,
11/15/2017,1.05307,,,,,,,,,,,,
11/13/2017,1.04996,,,,,,,,,,,,
11/9/2017,1.05315,,,,,,,,,,,,
11/8/2017,1.05621,,,,,,,,,,,,
11/7/2017,1.05627,,,,,,,,,,,,
11/6/2017,1.05695,,,,,,,,,,,,
11/3/2017,1.05684,,,,,,,,,,,,
11/2/2017,1.05661,,,,,,,,,,,,
11/1/2017,1.05712,,,,,,,,,,,,
10/31/2017,1.05625,,,,,,,,,,,,
10/30/2017,1.05555,,,,,,,,,,,,
10/27/2017,1.05221,,,,,,,,,,,,
10/25/2017,1.05207,,,,,,,,,,,,
10/24/2017,1.05249,,,,,,,,,,,,
10/23/2017,1.05578,,,,,,,,,,,,
10/20/2017,1.05573,,,,,,,,,,,,
10/19/2017,1.0567,,,,,,,,,,,,
10/18/2017,1.05604,,,,,,,,,,,,
10/17/2017,1.05643,,,,,,,,,,,,
10/16/2017,1.05571,,,,,,,,,,,,
10/12/2017,1.05482,,,,,,,,,,,,
10/11/2017,1.0525,,,,,,,,,,,,
10/10/2017,1.07371,,,,,,,,,,,,
10/4/2017,1.05705,,,,,,,,,,,,
10/3/2017,1.05606,,,,,,,,,,,,
10/2/2017,1.05342,,,,,,,,,,,,
9/29/2017,1.0575,,,,,,,,,,,,
9/28/2017,1.05185,,,,,,,,,,,,
9/27/2017,1.05157,,,,,,,,,,,,
9/26/2017,1.05247,,,,,,,,,,,,
9/25/2017,1.05066,,,,,,,,,,,,
9/21/2017,1.04982,,,,,,,,,,,,
9/19/2017,1.04976,,,,,,,,,,,,
9/18/2017,1.05022,,,,,,,,,,,,
9/14/2017,1.05197,,,,,,,,,,,,
9/13/2017,1.05044,,,,,,,,,,,,
9/12/2017,1.0504,,,,,,,,,,,,
9/11/2017,1.05175,,,,,,,,,,,,
9/7/2017,1.0556,,,,,,,,,,,,
9/6/2017,1.05407,,,,,,,,,,,,
9/5/2017,1.05364,,,,,,,,,,,,
8/31/2017,1.05173,,,,,,,,,,,,
8/30/2017,1.05539,,,,,,,,,,,,
8/29/2017,1.04963,,,,,,,,,,,,
8/28/2017,1.05077,,,,,,,,,,,,
8/25/2017,1.05032,,,,,,,,,,,,
8/24/2017,1.04985,,,,,,,,,,,,
8/23/2017,1.0579,,,,,,,,,,,,
8/22/2017,1.04669,,,,,,,,,,,,
8/18/2017,1.0467,,,,,,,,,,,,
8/17/2017,1.04991,,,,,,,,,,,,
8/16/2017,1.049,,,,,,,,,,,,
8/11/2017,1.04702,,,,,,,,,,,,
8/10/2017,1.04221,,,,,,,,,,,,
8/9/2017,1.0449,,,,,,,,,,,,
8/8/2017,1.04675,,,,,,,,,,,,
8/7/2017,1.05075,,,,,,,,,,,,
8/4/2017,1.04898,,,,,,,,,,,,
8/3/2017,1.05252,,,,,,,,,,,,
8/2/2017,1.05106,,,,,,,,,,,,
8/1/2017,1.0522,,,,,,,,,,,,
7/31/2017,1.04869,,,,,,,,,,,,
7/28/2017,1.03532,,,,,,,,,,,,
7/26/2017,1.04059,,,,,,,,,,,,
7/25/2017,1.04525,,,,,,,,,,,,
7/24/2017,1.04791,,,,,,,,,,,,
7/21/2017,1.0535,,,,,,,,,,,,
7/20/2017,1.04638,,,,,,,,,,,,
7/19/2017,1.04416,,,,,,,,,,,,
7/17/2017,1.03888,,,,,,,,,,,,
7/14/2017,1.04053,,,,,,,,,,,,
7/12/2017,1.04011,,,,,,,,,,,,
7/11/2017,1.03617,,,,,,,,,,,,
7/10/2017,1.03735,,,,,,,,,,,,
7/7/2017,1.03597,,,,,,,,,,,,
7/6/2017,1.05769,,,,,,,,,,,,
7/5/2017,1.03752,,,,,,,,,,,,
6/30/2017,1.03948,,,,,,,,,,,,
6/29/2017,1.04059,,,,,,,,,,,,
6/28/2017,1.04061,,,,,,,,,,,,
6/27/2017,1.0406,,,,,,,,,,,,
6/26/2017,1.04621,,,,,,,,,,,,
6/23/2017,1.04381,,,,,,,,,,,,
6/22/2017,1.04507,,,,,,,,,,,,
6/21/2017,1.0485,,,,,,,,,,,,
6/20/2017,1.04889,,,,,,,,,,,,
6/19/2017,1.04141,,,,,,,,,,,,
6/16/2017,1.04516,,,,,,,,,,,,
6/15/2017,1.04266,,,,,,,,,,,,
