Date,1/12 Yr,3/12 Yr,6/12 yr,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1/4/2010,0.0005,0.0008,0.0018,0.0045,0.0109,0.0166,0.0265,0.0336,0.0385,0.046,0.0465
1/5/2010,0.0003,0.0007,0.0017,0.0041,0.0101,0.0157,0.0256,0.0328,0.0377,0.0454,0.0459
1/6/2010,0.0003,0.0006,0.0015,0.004,0.0101,0.016,0.026,0.0333,0.0385,0.0463,0.047
1/7/2010,0.0002,0.0005,0.0016,0.004,0.0103,0.0162,0.0262,0.0333,0.0385,0.0462,0.0469
1/8/2010,0.0002,0.0005,0.0015,0.0037,0.0096,0.0156,0.0257,0.0331,0.0383,0.0461,0.047
1/11/2010,0.0001,0.0004,0.0013,0.0035,0.0095,0.0155,0.0258,0.0332,0.0385,0.0464,0.0474
1/12/2010,0.0002,0.0005,0.0014,0.0034,0.0092,0.015,0.0249,0.0322,0.0374,0.0452,0.0462
1/13/2010,0.0002,0.0006,0.0015,0.0037,0.0097,0.0154,0.0255,0.0328,0.038,0.046,0.0471
1/14/2010,0.0002,0.0005,0.0014,0.0034,0.0094,0.0149,0.0251,0.0323,0.0376,0.0452,0.0463
1/15/2010,0.0003,0.0006,0.0015,0.0033,0.0089,0.0144,0.0244,0.0317,0.037,0.0448,0.0458
1/19/2010,0.0003,0.0006,0.0014,0.0033,0.0093,0.0148,0.0248,0.032,0.0373,0.0449,0.046
1/20/2010,0.0003,0.0005,0.0014,0.0031,0.0092,0.0146,0.0245,0.0316,0.0368,0.0443,0.0454
1/21/2010,0.0002,0.0006,0.0014,0.0031,0.0087,0.0141,0.0238,0.0309,0.0362,0.0438,0.045
1/22/2010,0.0002,0.0006,0.0014,0.003,0.0084,0.0139,0.0237,0.0309,0.0362,0.0438,0.045
1/25/2010,0.0002,0.0006,0.0014,0.003,0.0086,0.014,0.0239,0.0312,0.0366,0.0442,0.0455
1/26/2010,0.0002,0.0007,0.0014,0.0032,0.0087,0.014,0.0238,0.0311,0.0365,0.0443,0.0456
1/27/2010,0.0001,0.0008,0.0016,0.0033,0.009,0.0146,0.0243,0.0314,0.0366,0.0442,0.0455
1/28/2010,0.0001,0.0008,0.0015,0.0031,0.0087,0.0144,0.0241,0.0315,0.0368,0.0444,0.0457
1/29/2010,0.0002,0.0008,0.0015,0.003,0.0082,0.0138,0.0234,0.0308,0.0363,0.0438,0.0451
2/1/2010,0.0005,0.001,0.0017,0.0033,0.0086,0.0141,0.0238,0.0312,0.0368,0.0443,0.0456
2/2/2010,0.0004,0.001,0.0017,0.0033,0.0086,0.0141,0.0237,0.0311,0.0367,0.0442,0.0455
2/3/2010,0.0005,0.001,0.0017,0.0035,0.0088,0.0144,0.024,0.0316,0.0373,0.0449,0.0462
2/4/2010,0.0004,0.0009,0.0016,0.0032,0.008,0.0134,0.0229,0.0306,0.0362,0.0439,0.0453
2/5/2010,0.0003,0.001,0.0017,0.0031,0.0077,0.0128,0.0223,0.03,0.0359,0.0436,0.0451
2/8/2010,0.0004,0.0012,0.0017,0.0032,0.0079,0.013,0.0226,0.0303,0.0362,0.0438,0.0452
2/9/2010,0.0005,0.0012,0.0018,0.0034,0.0084,0.0137,0.0232,0.0308,0.0367,0.0444,0.0458
2/10/2010,0.0006,0.0011,0.0019,0.0038,0.0091,0.0144,0.0239,0.0314,0.0372,0.0451,0.0465
2/11/2010,0.0005,0.0011,0.0018,0.0038,0.0091,0.0143,0.0239,0.0315,0.0373,0.0454,0.0469
2/12/2010,0.0004,0.001,0.0018,0.0035,0.0084,0.0138,0.0235,0.0311,0.0369,0.0452,0.0466
2/16/2010,0.0004,0.001,0.0018,0.0034,0.0082,0.0136,0.0232,0.0308,0.0366,0.0449,0.0463
2/17/2010,0.0007,0.001,0.0018,0.0035,0.0087,0.0142,0.024,0.0316,0.0374,0.0456,0.047
