Date,DomRate,ForRate,spotRate,,S,PVf,PVd,,r_S,r_PVf,r_PVd,,weight1,weight2
8/10/1998,4.98,7.539,1.635,,1.635,0.981501157,0.987703096,,,,,,,
8/11/1998,5.01,7.438,1.6305,,1.6305,0.981744462,0.987629935,,-0.002752294,0.00024789,-7.41E-05,,,
8/12/1998,5.004,7.591,1.6267,,1.6267,0.981375938,0.987644566,,-0.002330573,-0.000375376,1.48E-05,,,
8/13/1998,5.04,7.589,1.6245,,1.6245,0.981380754,0.987556785,,-0.001352431,4.91E-06,-8.89E-05,,,
8/14/1998,5.017,7.588,1.6168,,1.6168,0.981383161,0.987612866,,-0.00473992,2.45E-06,5.68E-05,,,
8/17/1998,4.98,7.591,1.6152,,1.6152,0.981375938,0.987703096,,-0.000989609,-7.36E-06,9.14E-05,,,
8/19/1998,5.051,7.591,1.6225,,1.6225,0.981375938,0.987529965,,0.004519564,0,-0.000175287,,,
8/20/1998,5.03,7.589,1.6295,,1.6295,0.981380754,0.987581167,,0.00431433,4.91E-06,5.18E-05,,,
8/21/1998,4.996,7.588,1.6375,,1.6375,0.981383161,0.987664076,,0.004909481,2.45E-06,8.40E-05,,,
8/24/1998,5.056,7.591,1.6409,,1.6409,0.981375938,0.987517775,,0.002076336,-7.36E-06,-0.000148128,,,
8/25/1998,5.073,7.591,1.639,,1.639,0.981375938,0.987476331,,-0.001157901,0,-4.20E-05,,,
8/26/1998,5.042,7.591,1.638,,1.638,0.981375938,0.987551908,,-0.000610128,0,7.65E-05,,,
8/28/1998,4.862,7.4,1.6805,,1.6805,0.981836033,0.98799097,,0.025946276,0.000468827,0.000444596,,,
9/1/1998,4.896,7.36,1.675,,1.675,0.981932443,0.987908006,,-0.003272835,9.82E-05,-8.40E-05,,,
9/2/1998,4.885,7.487,1.6696,,1.6696,0.981626408,0.987934846,,-0.003223881,-0.000311666,2.72E-05,,,
9/3/1998,4.812,7.36,1.6755,,1.6755,0.981932443,0.988113001,,0.003533781,0.000311764,0.000180331,,,
9/4/1998,4.845,7.435,1.6705,,1.6705,0.98175169,0.988032457,,-0.002984184,-0.000184078,-8.15E-05,,,
9/8/1998,4.847,7.312,1.657,,1.657,0.98204816,0.988027576,,-0.008081413,0.00030198,-4.94E-06,,,
9/9/1998,4.859,7.312,1.669,,1.669,0.98204816,0.987998291,,0.007242004,0,-2.96E-05,,,
9/10/1998,4.77,7.312,1.69,,1.69,0.98204816,0.98821553,,0.012582385,0,0.000219878,,,
9/11/1998,4.856,7.446,1.6735,,1.6735,0.981725186,0.988005612,,-0.009763314,-0.000328878,-0.000212421,,,
9/14/1998,4.824,7.269,1.68,,1.68,0.982151846,0.98808371,,0.003884075,0.000434602,7.90E-05,,,
9/15/1998,4.792,7.383,1.6763,,1.6763,0.981877005,0.988161821,,-0.002202381,-0.000279835,7.91E-05,,,
9/16/1998,4.719,7.383,1.679,,1.679,0.981877005,0.988340058,,0.00161069,0,0.000180372,,,
9/17/1998,4.63,7.33,1.6825,,1.6825,0.982004763,0.988557448,,0.002084574,0.000130116,0.000219954,,,
9/18/1998,4.592,7.2,1.6835,,1.6835,0.982318271,0.988650295,,0.000594354,0.000319253,9.39E-05,,,
9/21/1998,4.72,7.321,1.6825,,1.6825,0.982026461,0.988337616,,-0.000594001,-0.000297063,-0.000316268,,,
9/22/1998,4.802,7.332,1.6814,,1.6814,0.981999941,0.98813741,,-0.000653789,-2.70E-05,-0.000202568,,,
9/23/1998,4.688,7.332,1.6855,,1.6855,0.981999941,0.988415767,,0.002438444,0,0.000281698,,,
9/24/1998,4.594,7.33,1.6955,,1.6955,0.982004763,0.988645407,,0.005932958,4.91E-06,0.000232332,,,
9/25/1998,4.483,7.329,1.699,,1.699,0.982007174,0.988916716,,0.002064288,2.46E-06,0.000274424,,,
9/28/1998,4.44,7.207,1.7108,,1.7108,0.982301385,0.989021857,,0.006945262,0.000299602,0.00010632,,,
9/29/1998,4.387,7.207,1.7095,,1.7095,0.982301385,0.989151481,,-0.000759878,0,0.000131063,,,
9/30/1998,4.281,7.124,1.6985,,1.6985,0.982501646,0.989410831,,-0.00643463,0.000203869,0.000262194,,,
10/1/1998,4.125,7.2,1.7039,,1.7039,0.982318271,0.989792762,,0.003179276,-0.00018664,0.000386019,,,
10/5/1998,4.119,7.332,1.6838,,1.6838,0.981999941,0.989807458,,-0.011796467,-0.00032406,1.48E-05,,,
10/6/1998,4.118,7.2,1.6855,,1.6855,0.982318271,0.989809907,,0.001009621,0.000324165,2.47E-06,,,
10/7/1998,4.123,7.124,1.7005,,1.7005,0.982501646,0.989797661,,0.008899436,0.000186675,-1.24E-05,,,
10/8/1998,3.838,7.06,1.7115,,1.7115,0.982656119,0.990496189,,0.006468686,0.000157225,0.000705729,,,
10/9/1998,3.775,7,1.7055,,1.7055,0.982800983,0.990650734,,-0.003505697,0.00014742,0.000156027,,,
10/12/1998,3.774,7.021,1.6914,,1.6914,0.982750276,0.990653187,,-0.00826737,-5.16E-05,2.48E-06,,,
10/13/1998,3.968,7,1.7062,,1.7062,0.982800983,0.99017744,,0.008750148,5.16E-05,-0.000480236,,,
