Date,DomRate,ForRate,spotRate,,S,PVf,PVd,,r_S,r_PVf,r_PVd,,weight1,weight2
1/2/1998,5.294,7.446,1.645,,1.645,0.981725186,0.986937877,,,,,,,
1/5/1998,5.217,7.449,1.6295,,1.6295,0.981717957,0.987125417,,-0.009422492,-7.36E-06,0.000190022,,,
1/8/1998,5.061,7.447,1.613,,1.613,0.981722776,0.987505586,,-0.010125805,4.91E-06,0.000385127,,,
1/12/1998,5.071,7.376,1.6225,,1.6225,0.981893877,0.987481207,,0.005889647,0.000174286,-2.47E-05,,,
1/13/1998,5.176,7.383,1.6339,,1.6339,0.981877005,0.987225305,,0.007026194,-1.72E-05,-0.000259147,,,
1/14/1998,5.155,7.383,1.629,,1.629,0.981877005,0.987276474,,-0.00299896,0,5.18E-05,,,
1/15/1998,5.061,7.313,1.631,,1.631,0.982045749,0.987505586,,0.001227747,0.000171858,0.000232064,,,
1/20/1998,5.123,7.449,1.6267,,1.6267,0.981717957,0.987354458,,-0.002636419,-0.000333784,-0.00015304,,,
1/26/1998,5.105,7.449,1.6571,,1.6571,0.981717957,0.987398329,,0.018688142,0,4.44E-05,,,
1/27/1998,5.229,7.449,1.6427,,1.6427,0.981717957,0.987096185,,-0.00868988,0,-0.000306,,,
1/30/1998,5.172,7.446,1.6335,,1.6335,0.981725186,0.987235051,,-0.005600536,7.36E-06,0.000140681,,,
2/2/1998,5.211,7.449,1.6393,,1.6393,0.981717957,0.987140033,,0.003550658,-7.36E-06,-9.62E-05,,,
2/6/1998,5.152,7.446,1.6435,,1.6435,0.981725186,0.987283785,,0.002562069,7.36E-06,0.000145624,,,
2/9/1998,5.136,7.383,1.63,,1.63,0.981877005,0.987322776,,-0.008214177,0.000154646,3.95E-05,,,
2/10/1998,5.208,7.383,1.6257,,1.6257,0.981877005,0.987147342,,-0.002638037,0,-0.000177687,,,
2/11/1998,5.207,7.383,1.6326,,1.6326,0.981877005,0.987149778,,0.004244326,0,2.47E-06,,,
2/12/1998,5.217,7.382,1.6397,,1.6397,0.981879415,0.987125417,,0.004348891,2.45E-06,-2.47E-05,,,
2/19/1998,5.191,7.447,1.6372,,1.6372,0.981722776,0.987188758,,-0.001524669,-0.00015953,6.42E-05,,,
2/20/1998,5.199,7.446,1.6375,,1.6375,0.981725186,0.987169267,,0.00018324,2.45E-06,-1.97E-05,,,
2/27/1998,5.308,7.446,1.6442,,1.6442,0.981725186,0.986903787,,0.004091603,0,-0.000268931,,,
3/4/1998,5.155,7.449,1.6473,,1.6473,0.981717957,0.987276474,,0.001885415,-7.36E-06,0.000377633,,,
3/5/1998,5.154,7.382,1.634,,1.634,0.981879415,0.987278911,,-0.008073818,0.000164465,2.47E-06,,,
3/6/1998,5.14,7.38,1.6355,,1.6355,0.981884236,0.987313028,,0.000917993,4.91E-06,3.46E-05,,,
3/9/1998,5.094,7.383,1.639,,1.639,0.981877005,0.987425141,,0.002140018,-7.36E-06,0.000113554,,,
3/10/1998,5.082,7.383,1.6408,,1.6408,0.981877005,0.987454392,,0.001098231,0,2.96E-05,,,
3/11/1998,5.069,7.383,1.6482,,1.6482,0.981877005,0.987486083,,0.004509995,0,3.21E-05,,,
3/12/1998,5.069,7.382,1.657,,1.657,0.981879415,0.987486083,,0.005339158,2.45E-06,0,,,
3/13/1998,5.079,7.38,1.6715,,1.6715,0.981884236,0.987461705,,0.008750754,4.91E-06,-2.47E-05,,,
3/17/1998,5.123,7.28,1.6747,,1.6747,0.982125319,0.987354458,,0.001914448,0.000245531,-0.000108609,,,
3/18/1998,5.143,7.3,1.6711,,1.6711,0.982077093,0.987305717,,-0.002149639,-4.91E-05,-4.94E-05,,,
3/23/1998,5.115,7.415,1.6787,,1.6787,0.981799885,0.987373956,,0.004547903,-0.000282267,6.91E-05,,,
3/24/1998,5.135,7.415,1.6746,,1.6746,0.981799885,0.987325213,,-0.002442366,0,-4.94E-05,,,
3/25/1998,5.147,7.3,1.6753,,1.6753,0.982077093,0.987295969,,0.00041801,0.000282347,-2.96E-05,,,
3/26/1998,5.165,7.31,1.6863,,1.6863,0.982052982,0.987252107,,0.006565988,-2.46E-05,-4.44E-05,,,
3/27/1998,5.152,7.443,1.6827,,1.6827,0.981732414,0.987283785,,-0.002134851,-0.000326426,3.21E-05,,,
3/30/1998,5.176,7.446,1.6775,,1.6775,0.981725186,0.987225305,,-0.003090272,-7.36E-06,-5.92E-05,,,
3/31/1998,5.125,7.446,1.6728,,1.6728,0.981725186,0.987349583,,-0.002801788,0,0.000125887,,,
4/6/1998,5.084,7.415,1.6668,,1.6668,0.981799885,0.987449517,,-0.003586801,7.61E-05,0.000101214,,,
4/8/1998,5.015,7.415,1.6757,,1.6757,0.981799885,0.987617743,,0.005339573,0,0.000170364,,,
4/9/1998,5.048,7.413,1.6696,,1.6696,0.981804704,0.98753728,,-0.00364027,4.91E-06,-8.15E-05,,,
4/15/1998,5.067,7.415,1.6845,,1.6845,0.981799885,0.987490958,,0.008924293,-4.91E-06,-4.69E-05,,,
4/16/1998,5.035,7.413,1.6915,,1.6915,0.981804704,0.987568976,,0.004155536,4.91E-06,7.90E-05,,,
4/17/1998,5.043,7.28,1.6845,,1.6845,0.982125319,0.98754947,,-0.004138339,0.000326557,-1.98E-05,,,
4/20/1998,5.032,7.404,1.677,,1.677,0.981826393,0.98757629,,-0.00445236,-0.000304366,2.72E-05,,,
4/21/1998,5.062,7.404,1.674,,1.674,0.981826393,0.987503148,,-0.001788909,0,-7.41E-05,,,
4/22/1998,5.069,7.404,1.6725,,1.6725,0.981826393,0.987486083,,-0.000896057,0,-1.73E-05,,,
4/23/1998,5.061,7.403,1.666,,1.666,0.981828803,0.987505586,,-0.003886398,2.45E-06,1.98E-05,,,
4/24/1998,5.009,7.401,1.6679,,1.6679,0.981833623,0.987632374,,0.001140456,4.91E-06,0.000128392,,,
4/27/1998,5.063,7.404,1.6744,,1.6744,0.981826393,0.98750071,,0.003897116,-7.36E-06,-0.000133313,,,
4/28/1998,5.05,7.404,1.666,,1.666,0.981826393,0.987532403,,-0.005016722,0,3.21E-05,,,
5/1/1998,4.885,7.401,1.6667,,1.6667,0.981833623,0.987934846,,0.000420168,7.36E-06,0.000407523,,,
5/5/1998,5.09,7.27,1.6615,,1.6615,0.982149434,0.987434891,,-0.003119938,0.000321654,-0.00050606,,,
5/7/1998,5.089,7.23,1.6485,,1.6485,0.982245905,0.987437329,,-0.007824255,9.82E-05,2.47E-06,,,
5/8/1998,5.107,7.21,1.637,,1.637,0.982294148,0.987393454,,-0.006976039,4.91E-05,-4.44E-05,,,
5/13/1998,5.106,7.219,1.631,,1.631,0.982272438,0.987395891,,-0.003665241,-2.21E-05,2.47E-06,,,
5/18/1998,5.156,7.342,1.6238,,1.6238,0.981975834,0.987274038,,-0.00441447,-0.000301958,-0.000123409,,,
5/20/1998,5.158,7.25,1.6333,,1.6333,0.982197667,0.987269164,,0.005850474,0.000225905,-4.94E-06,,,
5/22/1998,5.192,7.38,1.6305,,1.6305,0.981884236,0.987186322,,-0.001714321,-0.000319112,-8.39E-05,,,
5/26/1998,5.14,7.383,1.6353,,1.6353,0.981877005,0.987313028,,0.002943882,-7.36E-06,0.000128351,,,
5/28/1998,5.051,7.382,1.6263,,1.6263,0.981879415,0.987529965,,-0.005503577,2.45E-06,0.000219725,,,
5/29/1998,5.007,7.38,1.6305,,1.6305,0.981884236,0.987637251,,0.002582549,4.91E-06,0.00010864,,,
6/1/1998,4.969,7.383,1.6399,,1.6399,0.981877005,0.987729925,,0.005765103,-7.36E-06,9.38E-05,,,
6/2/1998,5.083,7.383,1.639,,1.639,0.981877005,0.987451954,,-0.000548814,0,-0.000281424,,,
6/4/1998,5.108,7.469,1.6365,,1.6365,0.981669771,0.987391017,,-0.00152532,-0.000211059,-6.17E-05,,,
6/5/1998,5.08,7.619,1.6339,,1.6339,0.981308526,0.987459267,,-0.001588756,-0.000367991,6.91E-05,,,
6/8/1998,5.125,7.622,1.6335,,1.6335,0.981301304,0.987349583,,-0.000244813,-7.36E-06,-0.000111077,,,
6/11/1998,5.082,7.579,1.628,,1.628,0.981404832,0.987454392,,-0.003367003,0.000105501,0.000106151,,,
6/15/1998,5.138,7.438,1.6365,,1.6365,0.981744462,0.987317902,,0.00522113,0.000346065,-0.000138225,,,
6/17/1998,5.197,7.591,1.6687,,1.6687,0.981375938,0.98717414,,0.019676138,-0.000375376,-0.000145608,,,
6/18/1998,5.174,7.589,1.6713,,1.6713,0.981380754,0.987230178,,0.001558099,4.91E-06,5.68E-05,,,
