Date,DomRate,ForRate,spotRate,,S,PVf,PVd,,r_S,r_PVf,r_PVd,,weight1,weight2
1/2/1998,5.294,0,1.645,,1.645,1,0.986937877,,,,,,,
1/5/1998,5.217,0,1.6295,,1.6295,1,0.987125417,,-0.009422492,0.00E+00,0.000190022,,,
1/8/1998,5.061,0,1.613,,1.613,1,0.987505586,,-0.010125805,0.00E+00,0.000385127,,,
1/12/1998,5.071,0,1.6225,,1.6225,1,0.987481207,,0.005889647,0.00E+00,-2.47E-05,,,
1/13/1998,5.176,0,1.6339,,1.6339,1,0.987225305,,0.007026194,0.00E+00,-0.000259147,,,
1/14/1998,5.155,0,1.629,,1.629,1,0.987276474,,-0.00299896,0.00E+00,5.18E-05,,,
1/15/1998,5.061,0,1.631,,1.631,1,0.987505586,,0.001227747,0.00E+00,0.000232064,,,
1/20/1998,5.123,0,1.6267,,1.6267,1,0.987354458,,-0.002636419,0.00E+00,-0.00015304,,,
1/26/1998,5.105,0,1.6571,,1.6571,1,0.987398329,,0.018688142,0.00E+00,4.44E-05,,,
1/27/1998,5.229,0,1.6427,,1.6427,1,0.987096185,,-0.00868988,0.00E+00,-0.000306,,,
1/30/1998,5.172,0,1.6335,,1.6335,1,0.987235051,,-0.005600536,0.00E+00,0.000140681,,,
2/2/1998,5.211,0,1.6393,,1.6393,1,0.987140033,,0.003550658,0.00E+00,-9.62E-05,,,
2/6/1998,5.152,0,1.6435,,1.6435,1,0.987283785,,0.002562069,0.00E+00,0.000145624,,,
2/9/1998,5.136,0,1.63,,1.63,1,0.987322776,,-0.008214177,0.00E+00,3.95E-05,,,
2/10/1998,5.208,0,1.6257,,1.6257,1,0.987147342,,-0.002638037,0.00E+00,-0.000177687,,,
2/11/1998,5.207,0,1.6326,,1.6326,1,0.987149778,,0.004244326,0.00E+00,2.47E-06,,,
2/12/1998,5.217,0,1.6397,,1.6397,1,0.987125417,,0.004348891,0.00E+00,-2.47E-05,,,
2/19/1998,5.191,0,1.6372,,1.6372,1,0.987188758,,-0.001524669,0.00E+00,6.42E-05,,,
2/20/1998,5.199,0,1.6375,,1.6375,1,0.987169267,,0.00018324,0.00E+00,-1.97E-05,,,
2/27/1998,5.308,0,1.6442,,1.6442,1,0.986903787,,0.004091603,0.00E+00,-0.000268931,,,
3/4/1998,5.155,0,1.6473,,1.6473,1,0.987276474,,0.001885415,0.00E+00,0.000377633,,,
3/5/1998,5.154,0,1.634,,1.634,1,0.987278911,,-0.008073818,0.00E+00,2.47E-06,,,
3/6/1998,5.14,0,1.6355,,1.6355,1,0.987313028,,0.000917993,0.00E+00,3.46E-05,,,
3/9/1998,5.094,0,1.639,,1.639,1,0.987425141,,0.002140018,0.00E+00,0.000113554,,,
3/10/1998,5.082,0,1.6408,,1.6408,1,0.987454392,,0.001098231,0.00E+00,2.96E-05,,,
3/11/1998,5.069,0,1.6482,,1.6482,1,0.987486083,,0.004509995,0.00E+00,3.21E-05,,,
