Date,Price,Return
23-May-17,2398,0.0022
24-May-17,2402,0.0017
25-May-17,2413.5,0.0048
26-May-17,2413.75,0.0001
28-May-17,2415.5,0.0007
29-May-17,2414.25,-0.0005
30-May-17,2410.75,-0.0014
31-May-17,2411,0.0001
1-Jun-17,2429.5,0.0077
2-Jun-17,2437.75,0.0034
5-Jun-17,2434.5,-0.0013
6-Jun-17,2430.75,-0.0015
7-Jun-17,2432,0.0005
8-Jun-17,2432.5,0.0002
9-Jun-17,2430.5,-0.0008
12-Jun-17,2428.5,-0.0008
13-Jun-17,2440,0.0047
14-Jun-17,2437.25,-0.0011
15-Jun-17,2434.25,-0.0012
16-Jun-17,2434.89,3.00E-04
19-Jun-17,2447.5,0.0052
20-Jun-17,2437.5,-0.0041
21-Jun-17,2433.5,-0.0016
22-Jun-17,2431.75,-0.0007
23-Jun-17,2435,1.30E-03
26-Jun-17,2436,0.0004
27-Jun-17,2420.5,-0.0064
28-Jun-17,2438.5,0.0074
29-Jun-17,2420,-0.0076
30-Jun-17,2421,0.0004
3-Jul-17,2425,0.0017
4-Jul-17,2423.75,-0.0005
5-Jul-17,2428,0.0018
6-Jul-17,2408.5,-0.008
7-Jul-17,2422.5,0.0058
10-Jul-17,2424.5,0.0008
11-Jul-17,2424.5,0
12-Jul-17,2440,0.0064
13-Jul-17,2445.5,0.0023
14-Jul-17,2456,0.0043
17-Jul-17,2458.5,0.001
18-Jul-17,2457.75,-0.0003
19-Jul-17,2471.5,0.0056
20-Jul-17,2471.25,-0.0001
21-Jul-17,2469.5,-0.0007
24-Jul-17,2468.5,-0.0004
25-Jul-17,2474,0.0022
26-Jul-17,2473.25,-0.0003
27-Jul-17,2472,-0.0005
28-Jul-17,2470.25,-0.0007
31-Jul-17,2468,-0.0009
1-Aug-17,2472.25,0.0017
2-Aug-17,2473.5,0.0005
3-Aug-17,2471.75,-0.0007
4-Aug-17,2472,0.0001
7-Aug-17,2477.5,0.0022
8-Aug-17,2472.75,-0.0019
9-Aug-17,2473,0.0001
10-Aug-17,2437.5,-0.0144
11-Aug-17,2440,0.001
14-Aug-17,2463.5,0.0096
15-Aug-17,2463.75,0.0001
16-Aug-17,2467.5,0.0015
17-Aug-17,2429.5,-0.0154
18-Aug-17,2426.75,-0.0011
21-Aug-17,2428,0.0005
22-Aug-17,2452.75,0.0102
23-Aug-17,2441.5,-0.0046
24-Aug-17,2440.75,-0.0003
25-Aug-17,2442.5,0.0007
28-Aug-17,2443.75,0.0005
29-Aug-17,2447,0.0013
30-Aug-17,2455.75,0.0036
31-Aug-17,2470,0.0058
1-Sep-17,2474.25,0.0017
3-Sep-17,2464.75,-0.0038
4-Sep-17,2469.62,0.002
5-Sep-17,2459.75,-0.004
