DATE,STOCK_PRICE,STOCK_RETURN,OPTION_PRICE,OPTION_RETURN,IMPLIED_VOLATILITY,DELTA,GAMMA,VEGA
1/2/2015,109.33,-0.0095,44.275,0.027477,0.324589,-0.635797,-0.001573333,-0.008901905
1/5/2015,106.25,-0.0282,46.725,0.053859,0.332291,-0.678499,0.013864286,-0.002500649
1/6/2015,106.26,0.0001,46.825,0.002138,0.334368,-0.670942,0.7557,0.2077
1/7/2015,107.75,0.014,46.25,-0.012356,0.34141,-0.630589,0.02708255,0.004726174
1/8/2015,111.89,0.0384,43.325,-0.065332,0.334199,-0.622135,0.002042029,-0.001741787
1/9/2015,112.01,0.0011,43.075,-0.005787,0.331428,-0.622906,-0.006425,-0.023091667
1/12/2015,109.25,-0.0246,45.225,0.048707,0.341295,-0.62436,0.000526812,-0.003575
1/13/2015,110.22,0.0089,44.45,-0.017285,0.336792,-0.624006,0.000364948,-0.004642268
1/14/2015,109.8,-0.0038,45.325,0.019494,0.34751,-0.620592,-0.008128571,-0.025519048
1/15/2015,106.82,-0.0271,47.325,0.04318,0.349822,-0.62775,0.002402013,-0.000775839
1/16/2015,105.99,-0.0078,47.825,0.01051,0.34751,-0.640481,0.015338554,0.002785542
1/20/2015,108.72,0.0258,45.8,-0.043264,0.341687,-0.624922,0.005699267,-0.002132967
1/21/2015,109.55,0.0076,44.35,-0.032171,0.327493,-0.630873,-0.00716988,-0.017101205
1/22/2015,112.4,0.026,42.25,-0.048508,0.319782,-0.627504,0.001182105,-0.002705614
1/23/2015,112.98,0.0052,41.025,-0.029423,0.305255,-0.632353,-0.008360345,-0.025046552
1/26/2015,113.1,0.0011,40.875,-0.003663,0.304984,-0.632211,0.001183333,-0.002258333
1/27/2015,109.14,-0.035,42.85,0.047187,0.292365,-0.747153,0.029025758,0.003186616
1/28/2015,115.31,0.0565,39.6,-0.078877,0.307481,-0.628349,0.019255105,0.002449919
1/29/2015,118.9,0.0311,37.775,-0.047182,0.313513,-0.623119,0.001456825,0.001680223
1/30/2015,117.16,-0.0146,39.475,0.04402,0.324103,-0.620799,-0.001333333,-0.006086207
2/2/2015,118.63,0.0125,38.225,-0.032178,0.318448,-0.621858,-0.000720408,-0.003846939
2/3/2015,118.65,0.0002,37.925,-0.007879,0.312706,-0.623761,-0.09515,-0.2871
2/4/2015,119.56,0.0077,36.6,-0.035562,0.300146,-0.626601,-0.003120879,-0.013802198
2/5/2015,119.94,0.0032,36.4,-0.005479,0.301486,-0.612532,0.037023684,0.003526316
2/6/2015,118.93,-0.0084,36.975,0.015673,0.300562,-0.621104,0.008487129,0.000914851
2/9/2015,119.72,0.0066,36.25,-0.019803,0.29761,-0.617441,0.004636709,-0.003736709
2/10/2015,122.02,0.0192,34.825,-0.040104,0.300147,-0.597296,0.008758696,0.001103043
2/11/2015,124.88,0.0234,33.25,-0.046281,0.303926,-0.573664,0.008262937,0.001321329
2/12/2015,126.46,0.0127,32.625,-0.018976,0.309033,-0.556132,0.011096203,0.003232278
2/13/2015,127.08,0.0049,32.25,-0.011561,0.308643,-0.550457,0.009153226,-0.000629032
2/17/2015,127.83,0.0059,31.6,-0.020361,0.304492,-0.547056,0.004534667,-0.005534667
