Date,Price,Return
3-Jan-17,225.24,0
4-Jan-17,226.58,0.005931583
5-Jan-17,226.4,-0.000794737
6-Jan-17,227.21,0.003571354
9-Jan-17,226.46,-0.003306371
10-Jan-17,226.46,0
11-Jan-17,227.1,0.00282212
12-Jan-17,226.53,-0.002513063
13-Jan-17,227.05,0.002292871
17-Jan-17,226.25,-0.003529675
18-Jan-17,226.75,0.002207506
19-Jan-17,225.91,-0.003711399
20-Jan-17,226.74,0.003667297
23-Jan-17,226.15,-0.002605491
24-Jan-17,227.6,0.006391206
25-Jan-17,229.57,0.008618292
26-Jan-17,229.33,-0.00104598
27-Jan-17,228.97,-0.001571024
30-Jan-17,227.55,-0.006220996
31-Jan-17,227.53,-8.79E-05
1-Feb-17,227.62,0.000395474
2-Feb-17,227.77,0.000658776
3-Feb-17,229.34,0.006869271
6-Feb-17,228.93,-0.001789339
7-Feb-17,228.94,4.37E-05
8-Feb-17,229.24,0.001309529
9-Feb-17,230.6,0.005915118
10-Feb-17,231.51,0.003938461
13-Feb-17,232.77,0.005427772
14-Feb-17,233.7,0.0039874
15-Feb-17,234.92,0.005206789
16-Feb-17,234.72,-0.000851716
17-Feb-17,235.09,0.001575105
21-Feb-17,236.49,0.005937504
22-Feb-17,236.28,-0.000888381
23-Feb-17,236.44,0.000676934
24-Feb-17,236.74,0.001268017
27-Feb-17,237.11,0.001561676
28-Feb-17,236.47,-0.002702818
1-Mar-17,239.78,0.013900486
2-Mar-17,238.27,-0.006317352
3-Mar-17,238.42,0.00062934
6-Mar-17,237.71,-0.002982381
7-Mar-17,237,-0.002991302
8-Mar-17,236.56,-0.001858266
9-Mar-17,236.86,0.001267374
10-Mar-17,237.69,0.003498054
13-Mar-17,237.81,0.000504732
14-Mar-17,236.9,-0.003833924
15-Mar-17,238.95,0.008616214
16-Mar-17,238.48,-0.001968876
17-Mar-17,237.03,-0.006098734
20-Mar-17,236.77,-0.00109751
21-Mar-17,233.73,-0.012922603
22-Mar-17,234.28,0.002350378
23-Mar-17,234.03,-0.001067669
24-Mar-17,233.86,-0.000726667
27-Mar-17,233.62,-0.001026782
28-Mar-17,235.32,0.007250426
29-Mar-17,235.54,0.00093446
30-Mar-17,236.29,0.003179114
31-Mar-17,235.74,-0.002330361
3-Apr-17,235.33,-0.001740718
4-Apr-17,235.48,0.0006372
5-Apr-17,234.78,-0.002977079
6-Apr-17,235.44,0.002807198
7-Apr-17,235.2,-0.001019888
10-Apr-17,235.34,0.000595061
11-Apr-17,235.06,-0.001190476
12-Apr-17,234.03,-0.004391488
13-Apr-17,232.51,-0.006516077
17-Apr-17,234.57,0.008820816
18-Apr-17,233.87,-0.002988645
19-Apr-17,233.44,-0.001840321
20-Apr-17,235.34,0.008106192
21-Apr-17,234.59,-0.003191967
24-Apr-17,237.17,0.010937874
25-Apr-17,238.55,0.005801748
26-Apr-17,238.4,-0.000628997
27-Apr-17,238.6,0.000838574
28-Apr-17,238.08,-0.002181758
1-May-17,238.68,0.002516991
2-May-17,238.77,0.000377003
3-May-17,238.48,-0.001215296
4-May-17,238.76,0.001173414
5-May-17,239.7,0.003929278
8-May-17,239.66,-0.000166889
9-May-17,239.44,-0.000918389
10-May-17,239.87,0.001794246
11-May-17,239.38,-0.002044862
12-May-17,238.98,-0.001672381
15-May-17,240.3,0.005508276
16-May-17,240.08,-0.000915942
17-May-17,235.82,-0.017903399
18-May-17,236.77,0.004020404
19-May-17,238.31,0.006483141
22-May-17,239.52,0.005064574
23-May-17,240.05,0.002210314
24-May-17,240.61,0.00233013
25-May-17,241.76,0.004768133
26-May-17,241.71,-0.000206838
30-May-17,241.5,-0.000869187
31-May-17,241.44,-0.000248478
1-Jun-17,243.36,0.007920833
2-Jun-17,244.17,0.003322875
5-Jun-17,243.99,-0.000737463
6-Jun-17,243.21,-0.003201973
7-Jun-17,243.66,0.001848543
8-Jun-17,243.78,0.000492368
9-Jun-17,243.41,-0.001518915
12-Jun-17,243.36,-0.000205436
13-Jun-17,244.55,0.004877958
14-Jun-17,244.24,-0.001268439
15-Jun-17,243.77,-0.001926191
16-Jun-17,242.64,-0.004646294
19-Jun-17,244.66,0.008290628
20-Jun-17,243.01,-0.006766897
21-Jun-17,242.95,-0.000246934
22-Jun-17,242.84,-0.000452871
23-Jun-17,243.13,0.001193489
26-Jun-17,243.29,0.000657868
27-Jun-17,241.33,-0.008088856
28-Jun-17,243.49,0.008910582
29-Jun-17,241.35,-0.008827712
30-Jun-17,241.8,0.001862776
3-Jul-17,242.21,0.00169418
5-Jul-17,242.77,0.002309375
6-Jul-17,240.55,-0.009186525
7-Jul-17,242.11,0.0064642
10-Jul-17,242.37,0.001073316
11-Jul-17,242.19,-0.000742942
12-Jul-17,244.01,0.007486666
13-Jul-17,244.42,0.001678849
14-Jul-17,245.56,0.00465326
17-Jul-17,245.53,-0.000122177
18-Jul-17,245.66,0.000529327
19-Jul-17,246.99,0.005399384
20-Jul-17,247.1,0.000445263
21-Jul-17,246.88,-0.000890724
24-Jul-17,246.82,-0.000243063
25-Jul-17,247.42,0.002427971
26-Jul-17,247.43,4.04E-05
27-Jul-17,247.2,-0.000929988
28-Jul-17,246.91,-0.001173828
31-Jul-17,246.77,-0.000567169
1-Aug-17,247.32,0.002226316
2-Aug-17,247.44,0.000485084
3-Aug-17,246.96,-0.001941748
4-Aug-17,247.41,0.001820499
7-Aug-17,247.87,0.001857536
8-Aug-17,247.26,-0.002464001
9-Aug-17,247.25,-4.04E-05
10-Aug-17,243.76,-0.014215836
11-Aug-17,244.12,0.001475773
14-Aug-17,246.54,0.009864344
15-Aug-17,246.51,-0.000121692
16-Aug-17,246.94,0.001742832
17-Aug-17,243.09,-0.015713647
18-Aug-17,242.71,-0.00156443
21-Aug-17,242.9,0.000782521
22-Aug-17,245.44,0.010402682
23-Aug-17,244.56,-0.003591841
24-Aug-17,243.99,-0.002333437
25-Aug-17,244.56,0.002333437
28-Aug-17,244.57,4.09E-05
29-Aug-17,244.85,0.001144212
30-Aug-17,246.01,0.004726407
31-Aug-17,247.49,0.005997992
1-Sep-17,247.84,0.0014132
5-Sep-17,246.06,-0.007207968
6-Sep-17,246.9,0.003407988
7-Sep-17,246.87,-0.000121514
8-Sep-17,246.58,-0.001175398
11-Sep-17,249.21,0.01060943
12-Sep-17,250.05,0.003364983
13-Sep-17,250.17,0.000479789
14-Sep-17,250.09,-0.000319834
15-Sep-17,249.19,-0.003605195
18-Sep-17,249.72,0.002124632
19-Sep-17,249.97,0.00100062
20-Sep-17,250.06,0.000359978
21-Sep-17,249.39,-0.002682953
22-Sep-17,249.44,0.000200469
25-Sep-17,248.93,-0.002046673
26-Sep-17,249.08,0.000602398
27-Sep-17,250.05,0.003886768
28-Sep-17,250.35,0.001199041
29-Sep-17,251.23,0.003508915
2-Oct-17,252.32,0.004329269
3-Oct-17,252.86,0.002137853
4-Oct-17,253.16,0.001185724
5-Oct-17,254.66,0.005907622
6-Oct-17,254.37,-0.001139422
9-Oct-17,253.95,-0.001652503
10-Oct-17,254.62,0.00263484
11-Oct-17,255.02,0.001569736
12-Oct-17,254.64,-0.00149119
13-Oct-17,254.95,0.001216665
16-Oct-17,255.29,0.001332706
17-Oct-17,255.47,0.000704832
18-Oct-17,255.72,0.00097811
19-Oct-17,255.79,0.000273699
20-Oct-17,257.11,0.005147214
23-Oct-17,256.11,-0.003896969
24-Oct-17,256.56,0.001755516
25-Oct-17,255.29,-0.004962402
26-Oct-17,255.62,0.001291813
27-Oct-17,257.71,0.008142955
30-Oct-17,256.75,-0.003732073
31-Oct-17,257.15,0.001556723
1-Nov-17,257.49,0.001321312
2-Nov-17,257.59,0.000388289
3-Nov-17,258.45,0.003333078
6-Nov-17,258.85,0.001546492
7-Nov-17,258.67,-0.000695625
8-Nov-17,259.11,0.001699564
9-Nov-17,258.17,-0.003634399
10-Nov-17,258.09,-0.000309921
13-Nov-17,258.33,0.000929476
14-Nov-17,257.73,-0.002325312
15-Nov-17,256.44,-0.005017806
16-Nov-17,258.62,0.008465084
17-Nov-17,257.86,-0.002943001
20-Nov-17,258.3,0.001704898
21-Nov-17,259.99,0.006521469
22-Nov-17,259.76,-0.000885041
24-Nov-17,260.36,0.002307161
27-Nov-17,260.23,-0.000499433
28-Nov-17,262.87,0.010093758
29-Nov-17,262.71,-0.000608851
30-Nov-17,265.01,0.008716799
1-Dec-17,264.46,-0.00207755
4-Dec-17,264.14,-0.001210746
5-Dec-17,263.19,-0.003603061
6-Dec-17,263.24,0.000189959
7-Dec-17,264.07,0.003148056
8-Dec-17,265.51,0.005438285
11-Dec-17,266.31,0.003008539
12-Dec-17,266.78,0.001763305
13-Dec-17,266.75,-0.000112459
14-Dec-17,265.66,-0.004094594
15-Dec-17,266.51,0.003194471
18-Dec-17,268.2,0.006321204
19-Dec-17,267.17,-0.003847811
20-Dec-17,267.03,-0.000524148
21-Dec-17,267.58,0.002057575
22-Dec-17,267.51,-0.000261638
26-Dec-17,267.19,-0.001196933
27-Dec-17,267.32,0.000486427
28-Dec-17,267.87,0.002055346
29-Dec-17,266.86,-0.003777612
