Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,74.68,72.44,54.91,44.41,40.25,36.665,33.08,31.2775,27.6725,25.87,26.64,24,20.22,20.2,18.82
3Mo,86.76,67.4,54.05,46.43,40.46,36.795,33.13,31.7925,29.1175,27.78,26.18,23.85,21.7,21.6,20.9
6Mo,86.93,62.35,52.15,43.85,38.9,35.65,32.4,31.3375,29.2125,28.15,27.45,24.35,22.4,21.97,21.1
9Mo,72.3,57.6,47.55,40.87,36.67,33.91,31.15,30.2125,28.3375,27.4,26.32,24.7,22.25,22,21.1
1Yr,67.14,52.77,44.72,38.56,34.78,32.485,30.19,29.415,27.865,27.09,26.3,23.65,22,21.8,21.47
2Yr,45.08,38.16,34.57,31.41,29.34,28.27,27.2,26.655,25.565,25.02,24.15,22.35,21.3,20.85,20.8
3Yr,33.88,30.72,28.56,27.16,26.17,25.68,25.19,24.6725,23.6375,23.12,22.8,21.25,20.57,20.4,19.97
4Yr,28.08,26.48,25.45,24.7,24.13,23.79,23.45,23.07,22.31,21.93,21.4,20.33,19.23,19.18,18.83
5Yr,25.05,24.39,23.82,23.2,23,22.575,22.15,21.85,21.25,20.95,20.35,19.5,18.75,18.45,18.57
6Yr,23.45,23.1,22.73,22.3,21.9,21.475,21.05,20.8875,20.5625,20.4,19.8,18.88,18.05,17.9,17.68
7Yr,21.87,21.81,21.33,21,20.68,20.315,19.95,19.8625,19.6875,19.6,19.05,18.1,17.2,17.25,17.25
8Yr,21.32,20.75,20.5,20.15,19.85,19.575,19.3,19.2325,19.0975,19.03,18.5,17.8,17.08,16.75,16.63
9Yr,20.25,19.84,19.59,19.32,19.05,18.76,18.47,18.4275,18.3425,18.3,17.87,17.3,16.6,16.4,16.1
10Yr,19.28,19,18.73,18.48,18.28,18.105,17.93,17.935,17.945,17.95,17.25,16.53,15.9,15.65,15.45
12Yr,18.04,17.82,17.6,17.58,17.5,17.35,17.2,17.165,17.095,17.06,16.47,15.74,15.1,14.9,14.74
15Yr,16.68,16.63,16.65,16.58,16.43,16.29,16.15,16.0625,15.8875,15.8,15.33,14.6,13.93,13.8,13.68
20Yr,15.54,15.48,15.3,15.18,14.98,14.88,14.78,14.735,14.645,14.6,14.13,13.48,12.98,12.88,12.75
25Yr,14.68,14.64,14.42,14.35,14.2,14.125,14.05,13.9925,13.8775,13.82,13.52,13.1,12.65,12.5,12.15
30Yr,13.62,13.5,13.38,13.28,13.15,13.05,12.95,12.9375,12.9125,12.9,12.65,12.3,11.85,11.75,13.8
